id,camera_number,original_id,latitude,longitude,utm_x,utm_y,street,intersection,neighborhood,camera_type,status,status_id,organizational_unit,installation_date,is_active,is_public,is_santos_aovivo,created_at,updated_at
433,CAM3158,7672,-23.93965689,-46.32346669,365318.00,7351823.00,Rua 7 de Setembro,Rua Soter de Araujo,Vila Nova,Fixa Digital HD,Em Funcionamento,1,,2025-02-03,true,true,true,2025-11-18 18:19:02.464006+00,2025-11-18 18:25:25.98603+00
434,CAM3159,7673,-23.93965672,-46.32348633,365316.00,7351823.00,Rua 7 de Setembro,Rua Soter de Araujo,Vila Nova,Fixa Digital HD,Em Funcionamento,1,,2025-02-03,true,true,true,2025-11-18 18:19:02.739196+00,2025-11-18 18:25:25.98603+00
435,CAM3161,7684,-23.93697730,-46.32526685,365132.00,7352118.00,Avenida Senador Feijó,Avenida São Francisco,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-07,true,true,true,2025-11-18 18:19:03.076934+00,2025-11-18 18:25:25.98603+00
436,CAM3162,7685,-23.93699528,-46.32527686,365131.00,7352116.00,Avenida São Francisco,Avenida Senador Feijó,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-07,true,true,true,2025-11-18 18:19:03.321644+00,2025-11-18 18:25:25.98603+00
437,CAM3163,7686,-23.93699536,-46.32526703,365132.00,7352116.00,Avenida Senador Feijó,Avenida São Francisco,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-07,true,true,true,2025-11-18 18:19:03.581011+00,2025-11-18 18:25:25.98603+00
438,CAM3164,7687,-23.93700456,-46.32524748,365134.00,7352115.00,Avenida Senador Feijó,Avenida São Francisco,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-07,true,true,true,2025-11-18 18:19:03.882712+00,2025-11-18 18:25:25.98603+00
439,CAM3166,7643,-23.93721195,-46.32423759,365237.00,7352093.00,Avenida São Francisco,Rua Braz Cubas,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-01-27,true,true,true,2025-11-18 18:19:04.177806+00,2025-11-18 18:25:25.98603+00
440,CAM3167,7644,-23.93723912,-46.32422805,365238.00,7352090.00,Avenida São Francisco,Rua Braz Cubas,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-01-27,true,true,true,2025-11-18 18:19:04.445717+00,2025-11-18 18:25:25.98603+00
441,CAM3169,7828,-23.94278948,-46.32463842,365202.00,7351475.00,Rua Conselheiro Saraiva,Rua Braz Cubas,Vila Nova,Fixa Digital HD,Em Funcionamento,1,,2025-04-28,true,true,true,2025-11-18 18:19:04.691396+00,2025-11-18 18:25:25.98603+00
442,CAM3170,3512,-23.94459707,-46.32132593,365541.00,7351278.00,Rua Julio de Mesquita,Avenida Conselheiro Nébias,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-03-13,true,true,true,2025-11-18 18:19:05.00157+00,2025-11-18 18:25:25.98603+00
444,CAM3172,7746,-23.94766839,-46.32332242,365341.00,7350936.00,Rua da Constituição,Rua Joaquim Nabuco,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-02-14,true,true,true,2025-11-18 18:19:05.590202+00,2025-11-18 18:25:25.98603+00
445,CAM3174,3524,-23.95433377,-46.32219160,365463.00,7350199.00,Avenida Conselheiro Nébias,Rua Luiz Gama,Encruzilhada,Fixa Digital HD,Em Funcionamento,1,,2025-02-12,true,true,true,2025-11-18 18:19:05.93292+00,2025-11-18 18:25:25.98603+00
446,CAM3175,3525,-23.95435208,-46.32216230,365466.00,7350197.00,Avenida Conselheiro Nébias,Rua Luiz Gama,Encruzilhada,Fixa Digital HD,Em Funcionamento,1,,2025-02-12,true,true,true,2025-11-18 18:19:06.239769+00,2025-11-18 18:25:25.98603+00
447,CAM3177,7733,-23.95137407,-46.32191576,365488.00,7350527.00,Avenida Conselheiro Nébias,Rua João Guerra,Encruzilhada,Fixa Digital HD,Em Funcionamento,1,,2024-02-12,true,true,true,2025-11-18 18:19:06.500262+00,2025-11-18 18:25:25.98603+00
448,CAM3178,7734,-23.95138284,-46.32194533,365485.00,7350526.00,Avenida Conselheiro Nébias,Rua João Guerra,Encruzilhada,Fixa Digital HD,Em Funcionamento,1,,2024-02-12,true,true,true,2025-11-18 18:19:06.791491+00,2025-11-18 18:25:25.98603+00
449,CAM3179,7735,-23.95137356,-46.32197471,365482.00,7350527.00,Avenida Conselheiro Nébias,Rua João Guerra,Encruzilhada,Fixa Digital HD,Em Funcionamento,1,,2024-02-12,true,true,true,2025-11-18 18:19:07.066604+00,2025-11-18 18:25:25.98603+00
450,CAM3180,7736,-23.95137364,-46.32196489,365483.00,7350527.00,Avenida Conselheiro Nébias,Rua João Guerra,Encruzilhada,Fixa Digital HD,Em Funcionamento,1,,2024-02-12,true,true,true,2025-11-18 18:19:07.345586+00,2025-11-18 18:25:25.98603+00
451,CAM3183,7744,-23.93659863,-46.32728697,364926.00,7352158.00,Avenida São Francisco,Rua Itororó,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-13,true,true,true,2025-11-18 18:19:07.690723+00,2025-11-18 18:25:25.98603+00
452,CAM3184,7745,-23.93660749,-46.32730671,364924.00,7352157.00,Avenida São Francisco,Rua Itororó,Centro,Fixa Digital HD,Em Funcionamento,1,,2024-02-13,true,true,true,2025-11-18 18:19:08.05599+00,2025-11-18 18:25:25.98603+00
453,CAM3192,3511,-23.94459732,-46.32129645,365544.00,7351278.00,Rua Julio de Mesquita,Avenida Conselheiro Nébias,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-03-13,true,true,true,2025-11-18 18:19:08.331958+00,2025-11-18 18:25:25.98603+00
454,CAM3203,7771,-23.93289299,-46.32868351,364780.00,7352567.00,Praça Visconde de Mauá,Rua Riachuelo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-25,true,true,true,2025-11-18 18:19:08.577981+00,2025-11-18 18:25:25.98603+00
455,CAM3204,7772,-23.93288379,-46.32870306,364778.00,7352568.00,Praça Visconde de Mauá,Rua Riachuelo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-25,true,true,true,2025-11-18 18:19:08.811119+00,2025-11-18 18:25:25.98603+00
456,CAM3205,7773,-23.93287459,-46.32872262,364776.00,7352569.00,Praça Visconde de Mauá,Rua Riachuelo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-25,true,true,true,2025-11-18 18:19:09.069551+00,2025-11-18 18:25:25.98603+00
457,CAM3206,7756,-23.93286265,-46.32801510,364848.00,7352571.00,Rua Cidade de Toledo,Praça Visconde de Mauá,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-24,true,true,true,2025-11-18 18:19:09.413373+00,2025-11-18 18:25:25.98603+00
458,CAM3207,7757,-23.93295354,-46.32794726,364855.00,7352561.00,Rua Cidade de Toledo,Praça Visconde de Mauá,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-24,true,true,true,2025-11-18 18:19:09.727469+00,2025-11-18 18:25:25.98603+00
459,CAM3208,7758,-23.93298072,-46.32793771,364856.00,7352558.00,Praça Visconde de Mauá,Rua Cidade de Toledo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-03-24,true,true,true,2025-11-18 18:19:10.032812+00,2025-11-18 18:25:25.98603+00
460,CAM3210,7759,-23.93287728,-46.32736681,364914.00,7352570.00,Rua Cidade de Toledo,Rua Augusto Severo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-24,true,true,true,2025-11-18 18:19:10.315303+00,2025-11-18 18:32:28.105708+00
461,CAM3211,7768,-23.93334066,-46.32913021,364735.00,7352517.00,Rua Cidade de Toledo,Rua Augusto Severo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-24,true,true,true,2025-11-18 18:19:10.591115+00,2025-11-18 18:32:28.105708+00
462,CAM3212,7760,-23.93298547,-46.32738757,364912.00,7352558.00,Rua Augusto Severo,Rua Cidade de Toledo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-24,true,true,true,2025-11-18 18:19:10.861324+00,2025-11-18 18:32:28.105708+00
463,CAM3213,7761,-23.93310235,-46.32744771,364906.00,7352545.00,Rua Cidade de Toledo,Rua Augusto Severo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-24,true,true,true,2025-11-18 18:19:11.104348+00,2025-11-18 18:32:28.105708+00
464,CAM3215,7775,-23.93347266,-46.32744167,364907.00,7352504.00,Rua General Câmara,Rua Augusto Severo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-25,true,true,true,2025-11-18 18:19:11.465213+00,2025-11-18 18:32:28.105708+00
465,CAM3216,7776,-23.93349967,-46.32745178,364906.00,7352501.00,Rua General Câmara,Rua Augusto Severo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-25,true,true,true,2025-11-18 18:19:11.751837+00,2025-11-18 18:32:28.105708+00
466,CAM3218,7778,-23.93218689,-46.32992403,364653.00,7352644.00,Rua Frei Gaspar,Rua 15 de Novembro,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-28,true,true,true,2025-11-18 18:19:12.057424+00,2025-11-18 18:32:28.105708+00
467,CAM3219,7779,-23.93219592,-46.32992413,364653.00,7352643.00,Rua Frei Gaspar,Rua 15 de Novembro,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-28,true,true,true,2025-11-18 18:19:12.319205+00,2025-11-18 18:32:28.105708+00
468,CAM3220,7780,-23.93219592,-46.32992413,364653.00,7352643.00,Rua Frei Gaspar,Rua 15 de Novembro,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-28,true,true,true,2025-11-18 18:19:12.568674+00,2025-11-18 18:32:28.105708+00
469,CAM3222,3518,-23.94989426,-46.32177294,365501.00,7350691.00,Avenida Conselheiro Nébias,Rua Xavier Pinheiro,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-03-19,true,true,true,2025-11-18 18:19:12.817859+00,2025-11-18 18:32:28.105708+00
470,CAM3223,3519,-23.94988481,-46.32182197,365496.00,7350692.00,Avenida Conselheiro Nébias,Rua Xavier Pinheiro,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-03-19,true,true,true,2025-11-18 18:19:13.062539+00,2025-11-18 18:32:28.105708+00
471,CAM3225,3515,-23.94969970,-46.32339227,365336.00,7350711.00,Rua Xavier Pinheiro,Rua da Constituição,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-03-19,true,true,true,2025-11-18 18:19:13.308949+00,2025-11-18 18:32:28.105708+00
472,CAM3226,3516,-23.94970873,-46.32339237,365336.00,7350710.00,Rua Xavier Pinheiro,Rua da Constituição,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-03-19,true,true,true,2025-11-18 18:19:13.566477+00,2025-11-18 18:32:28.105708+00
473,CAM3228,3584,-23.96414203,-46.31156023,366555.00,7349123.00,Avenida Affonso Penna,Rua Santos Dumont,Embaré,Fixa Digital HD,Em Funcionamento,1,,2025-03-26,true,true,true,2025-11-18 18:19:13.810397+00,2025-11-18 18:32:28.105708+00
474,CAM3229,3585,-23.96399104,-46.31126388,366585.00,7349140.00,Avenida Affonso Penna,Rua Santos Dumont,Macuco,Fixa Digital HD,Em Funcionamento,1,,2025-03-26,true,true,true,2025-11-18 18:19:14.042536+00,2025-11-18 18:32:28.105708+00
475,CAM3233,7806,-23.96494048,-46.31006472,366708.00,7349036.00,Avenida Affonso Penna,Praça Coronel Fernando Prestes,Embaré,Fixa Digital HD,Em Funcionamento,1,,2025-03-24,true,true,true,2025-11-18 18:19:14.332096+00,2025-11-18 18:32:28.105708+00
476,CAM3235,3597,-23.97002305,-46.30284355,367448.00,7348480.00,Avenida Affonso Penna,Rua Senador Lacerda Franco,Aparecida,Fixa Digital HD,Em Funcionamento,1,,2025-03-27,true,true,true,2025-11-18 18:19:14.647124+00,2025-11-18 18:32:28.105708+00
477,CAM3236,3598,-23.97015114,-46.30264828,367468.00,7348466.00,Avenida Affonso Penna,Rua Senador Lacerda Franco,Aparecida,Fixa Digital HD,Em Funcionamento,1,,2025-03-27,true,true,true,2025-11-18 18:19:14.945673+00,2025-11-18 18:32:28.105708+00
478,CAM3238,3539,-23.96056099,-46.31634906,366064.00,7349515.00,Avenida Affonso Penna,Praça Palmares,Macuco,Fixa Digital HD,Em Funcionamento,1,,2025-03-27,true,true,true,2025-11-18 18:19:15.231891+00,2025-11-18 18:32:28.105708+00
479,CAM3239,3540,-23.96042462,-46.31645578,366053.00,7349530.00,Avenida Affonso Penna,Praça Palmares,Macuco,Fixa Digital HD,Em Funcionamento,1,,2025-03-27,true,true,true,2025-11-18 18:19:15.551954+00,2025-11-18 18:32:28.105708+00
480,CAM3240,3541,-23.96077603,-46.31654779,366044.00,7349491.00,Avenida Affonso Penna,Praça Palmares,Boqueirão,Fixa Digital HD,Em Funcionamento,1,,2025-03-28,true,true,true,2025-11-18 18:19:15.864461+00,2025-11-18 18:32:28.105708+00
481,CAM3242,7810,-23.96069771,-46.31620305,366079.00,7349500.00,Avenida Affonso Penna,Praça Palmares,Macuco,Fixa Digital HD,Em Funcionamento,1,,2025-03-28,true,true,true,2025-11-18 18:19:16.154342+00,2025-11-18 18:32:28.105708+00
482,CAM3244,3542,-23.96068438,-46.31670409,366028.00,7349501.00,Avenida Affonso Penna,Praça Palmares,Boqueirão,Fixa Digital HD,Em Funcionamento,1,,2025-03-28,true,true,true,2025-11-18 18:19:16.459285+00,2025-11-18 18:32:28.105708+00
483,CAM3246,7811,-23.94531511,-46.33333059,364320.00,7351187.00,Avenida Engenheiro Luiz La Scala Júnior,Avenida Senador Pinheiro Machado,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-04-03,true,true,true,2025-11-18 18:19:16.716925+00,2025-11-18 18:32:28.105708+00
484,CAM3247,3747,-23.94530616,-46.33332068,364321.00,7351188.00,Avenida Engenheiro Luiz La Scala Júnior,Avenida Senador Pinheiro Machado,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-04-03,true,true,true,2025-11-18 18:19:16.995166+00,2025-11-18 18:32:28.105708+00
485,CAM3248,3748,-23.94529739,-46.33329111,364324.00,7351189.00,Avenida Engenheiro Luiz La Scala Júnior,Avenida Senador Pinheiro Machado,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-04-03,true,true,true,2025-11-18 18:19:17.243759+00,2025-11-18 18:32:28.105708+00
486,CAM3249,7812,-23.94533317,-46.33333078,364320.00,7351185.00,Avenida Engenheiro Luiz La Scala Júnior,Avenida Senador Pinheiro Machado,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-04-03,true,true,true,2025-11-18 18:19:17.48494+00,2025-11-18 18:32:28.105708+00
487,CAM3251,7814,-23.93166467,-46.32870041,364777.00,7352703.00,Rua Tuyuti,Rua Riachuelo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-04-09,true,true,true,2025-11-18 18:19:17.743586+00,2025-11-18 18:32:28.105708+00
488,CAM3252,7815,-23.93166475,-46.32869058,364778.00,7352703.00,Rua Tuyuti,Rua Riachuelo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-04-09,true,true,true,2025-11-18 18:19:17.99796+00,2025-11-18 18:32:28.105708+00
489,CAM3253,7816,-23.93165572,-46.32869049,364778.00,7352704.00,Rua Tuyuti,Rua Riachuelo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-04-09,true,true,true,2025-11-18 18:19:18.23943+00,2025-11-18 18:32:28.105708+00
490,CAM3254,7817,-23.93165564,-46.32870032,364777.00,7352704.00,Rua Tuyuti,Rua Riachuelo,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-04-09,true,true,true,2025-11-18 18:19:18.511549+00,2025-11-18 18:32:28.105708+00
491,CAM3261,3567,-23.96467494,-46.31682325,366020.00,7349059.00,Avenida Doutor Pedro Lessa,Rua Major Santos Silva,Embaré,Fixa Digital HD,Em Funcionamento,1,,2025-04-09,true,true,true,2025-11-18 18:19:18.81847+00,2025-11-18 18:32:28.105708+00
492,CAM3262,3568,-23.96481114,-46.31673619,366029.00,7349044.00,Avenida Doutor Pedro Lessa,Rua Major Santos Silva,Embaré,Fixa Digital HD,Em Funcionamento,1,,2025-04-09,true,true,true,2025-11-18 18:19:19.128553+00,2025-11-18 18:32:28.105708+00
493,CAM3264,3595,-23.96787979,-46.30531821,367194.00,7348715.00,Avenida Almirante Cochrane,Praça Visconde de Itaborahy,Macuco,Fixa Digital HD,Em Funcionamento,1,,2025-04-11,true,true,true,2025-11-18 18:19:19.449266+00,2025-11-18 18:32:28.105708+00
494,CAM3265,7820,-23.96788916,-46.30527900,367198.00,7348714.00,Avenida Almirante Cochrane,Praça Visconde de Itaborahy,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-04-11,true,true,true,2025-11-18 18:19:19.69806+00,2025-11-18 18:32:28.105708+00
495,CAM3266,7821,-23.96789802,-46.30529874,367196.00,7348713.00,Avenida Almirante Cochrane,Praça Visconde de Itaborahy,Macuco,Fixa Digital HD,Em Funcionamento,1,,2025-04-11,true,true,true,2025-11-18 18:19:19.945455+00,2025-11-18 18:32:28.105708+00
496,CAM3268,3592,-23.96819266,-46.30569482,367156.00,7348680.00,Avenida Almirante Cochrane,Praça Visconde de Itaborahy,Embaré,Fixa Digital HD,Em Funcionamento,1,,2025-04-11,true,true,true,2025-11-18 18:19:20.240676+00,2025-11-18 18:32:28.105708+00
497,CAM3269,3593,-23.96820161,-46.30570473,367155.00,7348679.00,Avenida Almirante Cochrane,Praça Visconde de Itaborahy,Aparecida,Fixa Digital HD,Em Funcionamento,1,,2025-04-11,true,true,true,2025-11-18 18:19:20.557304+00,2025-11-18 18:32:28.105708+00
498,CAM3270,3594,-23.96819258,-46.30570464,367155.00,7348680.00,Avenida Almirante Cochrane,Praça Visconde de Itaborahy,Estuário,Fixa Digital HD,Em Funcionamento,1,,2025-04-11,true,true,true,2025-11-18 18:19:20.801519+00,2025-11-18 18:32:28.105708+00
499,CAM3272,3650,-23.97668584,-46.29987361,367757.00,7347745.00,Avenida Doutor Pedro Lessa,Avenida Coronel Joaquim Montenegro,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-04-15,true,true,true,2025-11-18 18:19:21.09361+00,2025-11-18 18:32:28.105708+00
500,CAM3273,3651,-23.97664988,-46.29985360,367759.00,7347749.00,Avenida Doutor Pedro Lessa,Avenida Coronel Joaquim Montenegro,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-04-15,true,true,true,2025-11-18 18:19:21.376538+00,2025-11-18 18:32:28.105708+00
501,CAM3274,3652,-23.97664085,-46.29985351,367759.00,7347750.00,Avenida Doutor Pedro Lessa,Avenida Coronel Joaquim Montenegro,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-04-15,true,true,true,2025-11-18 18:19:21.703104+00,2025-11-18 18:32:28.105708+00
502,CAM3276,7824,-23.97652180,-46.30004888,367739.00,7347763.00,Avenida Doutor Pedro Lessa,Avenida Coronel Joaquim Montenegro,Aparecida,Fixa Digital HD,Em Funcionamento,1,,2025-04-15,true,true,true,2025-11-18 18:19:21.988461+00,2025-11-18 18:32:28.105708+00
503,CAM3277,7825,-23.97652163,-46.30006853,367737.00,7347763.00,Avenida Doutor Pedro Lessa,Avenida Coronel Joaquim Montenegro,Aparecida,Fixa Digital HD,Em Funcionamento,1,,2025-04-15,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:25:25.98603+00
504,CAM3278,7826,-23.97650349,-46.30007818,367736.00,7347765.00,Avenida Doutor Pedro Lessa,Avenida Coronel Joaquim Montenegro,Aparecida,Fixa Digital HD,Em Funcionamento,1,,2025-04-15,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:28.105708+00
505,CAM3280,7835,-23.98005235,-46.30010397,367737.00,7347372.00,Praça Engenheiro José Rebouças,Rua André Vidal de Negreiros,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-04-28,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:28.105708+00
506,CAM3281,7836,-23.98005269,-46.30006466,367741.00,7347372.00,Praça Engenheiro José Rebouças,Rua André Vidal de Negreiros,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-04-28,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:28.105708+00
507,CAM3282,7837,-23.98005244,-46.30009414,367738.00,7347372.00,Praça Engenheiro José Rebouças,Rua André Vidal de Negreiros,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-04-28,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:28.105708+00
508,CAM3284,7831,-23.98167850,-46.30003184,367746.00,7347192.00,Avenida Dino Bueno,Praça Engenheiro José Rebouças,Vila Nova,Fixa Digital HD,Em Funcionamento,1,,2025-04-25,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:28.105708+00
509,CAM3285,7832,-23.98167875,-46.30000235,367749.00,7347192.00,Avenida Dino Bueno,Praça Engenheiro José Rebouças,Vila Nova,Fixa Digital HD,Em Funcionamento,1,,2025-04-25,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:28.105708+00
510,CAM3286,7833,-23.98168803,-46.29997296,367752.00,7347191.00,Avenida Dino Bueno,Praça Engenheiro José Rebouças,Vila Nova,Fixa Digital HD,Em Funcionamento,1,,2025-04-25,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:28.105708+00
511,CAM3288,3667,-23.98171812,-46.29961943,367788.00,7347188.00,Avenida General San Martin,Praça Engenheiro José Rebouças,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-04-29,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
512,CAM3289,7839,-23.98171845,-46.29958012,367792.00,7347188.00,Praça Engenheiro José Rebouças,Avenida General San Martin,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-04-29,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
513,CAM3291,3660,-23.98007974,-46.29900345,367849.00,7347370.00,Rua Vereador Henrique Soler,Praça Engenheiro José Rebouças,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-04-29,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
514,CAM3292,7840,-23.98007949,-46.29903293,367846.00,7347370.00,Rua Vereador Henrique Soler,Praça Engenheiro José Rebouças,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-04-29,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
515,CAM3293,7841,-23.98009755,-46.29903311,367846.00,7347368.00,Rua Vereador Henrique Soler,Praça Engenheiro José Rebouças,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-04-29,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
516,CAM3303,3669,-23.98860590,-46.29993430,367763.00,7346425.00,Praça Amigos da Marinha,Avenida dos Bancários,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-05-06,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
517,CAM3304,3638,-23.97932519,-46.30491263,367247.00,7347448.00,Rua Ricardo Pinto,Rua Piratininga,Aparecida,Dome Digital HD,Em Funcionamento,1,,2025-05-07,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
518,CAM3314,3644,-23.98230397,-46.30719342,367018.00,7347116.00,Avenida Doutor Epitácio Pessoa,Avenida Coronel Joaquim Montenegro,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-07-14,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
519,CAM3315,3646,-23.98232203,-46.30719360,367018.00,7347114.00,Avenida Doutor Epitácio Pessoa,Avenida Coronel Joaquim Montenegro,Ponta Da Praia,Fixa Digital HD,Em Funcionamento,1,,2025-07-14,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
520,CAM3325,3610,-23.97357269,-46.31547878,366166.00,7348075.00,Rua Conselheiro Lafayette,Rua Oswaldo Cochrane,Embaré,Fixa Digital HD,Em Funcionamento,1,,2025-07-03,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
521,CAM3327,3611,-23.97356366,-46.31547869,366166.00,7348076.00,Rua Conselheiro Lafayette,Rua Oswaldo Cochrane,Embaré,Fixa Digital HD,Em Funcionamento,1,,2025-07-03,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
522,CAM3346,3616,-23.94234307,-46.37138388,360444.00,7351479.00,Praça Professor Domingos Aulicino,Avenida Jovino de Mello,Santa Maria,Fixa Digital HD,Em Funcionamento,1,,2025-10-03,true,true,true,2025-11-18 18:19:22.789029+00,2025-11-18 18:32:34.840427+00
