id,camera_number,original_id,latitude,longitude,utm_x,utm_y,street,intersection,neighborhood,camera_type,status,status_id,organizational_unit,installation_date,is_active,is_public,is_santos_aovivo,created_at,updated_at
338,CAM3031,3726,-23.96427721,-46.33047914,364630.00,7349090.00,Rua José Caballero,Rua Tolentino Filgueiras,Gonzaga,Fixa Digital HD,Em Funcionamento,1,,2025-04-07,true,true,true,2025-11-18 18:18:42.284445+00,2025-11-18 18:32:21.005989+00
339,CAM3032,7448,-23.95854962,-46.33176663,364493.00,7349723.00,Avenida General Francisco Glycerio,Avenida Anna Costa,Campo Grande,Fixa Digital HD,Em Funcionamento,1,,2024-10-29,true,true,true,2025-11-18 18:18:42.52359+00,2025-11-18 18:32:21.005989+00
340,CAM3033,7449,-23.95851427,-46.33167783,364502.00,7349727.00,Avenida General Francisco Glycerio,Avenida Anna Costa,Campo Grande,Fixa Digital HD,Em Funcionamento,1,,2024-10-29,true,true,true,2025-11-18 18:18:42.898317+00,2025-11-18 18:32:21.005989+00
341,CAM3039,3712,-23.96537099,-46.33347788,364326.00,7348966.00,Rua Cláudio Doneux,Rua Bahia,Gonzaga,Fixa Digital HD,Em Funcionamento,1,,2024-10-29,true,true,true,2025-11-18 18:18:43.128814+00,2025-11-18 18:32:21.005989+00
342,CAM3040,3713,-23.96540728,-46.33345860,364328.00,7348962.00,Rua Bahia,Rua Cláudio Doneux,Gonzaga,Fixa Digital HD,Em Funcionamento,1,,2024-10-29,true,true,true,2025-11-18 18:18:43.39002+00,2025-11-18 18:32:21.005989+00
343,CAM3042,7463,-23.96668599,-46.33491639,364181.00,7348819.00,Avenida Marechal Floriano Peixoto,Rua Pereira Barreto,Gonzaga,Fixa Digital HD,Em Funcionamento,1,,2024-10-31,true,true,true,2025-11-18 18:18:43.723188+00,2025-11-18 18:32:21.005989+00
344,CAM3043,7464,-23.96669494,-46.33492631,364180.00,7348818.00,Avenida Marechal Floriano Peixoto,Rua Pereira Barreto,Gonzaga,Fixa Digital HD,Em Funcionamento,1,,2024-10-31,true,true,true,2025-11-18 18:18:44.009922+00,2025-11-18 18:32:21.005989+00
345,CAM3045,7405,-23.94304859,-46.33434882,364214.00,7351437.00,Avenida Francisco Manoel,Avenida Doutor Waldemar Leão,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2024-10-23,true,true,true,2025-11-18 18:18:44.428493+00,2025-11-18 18:32:21.005989+00
346,CAM3046,7406,-23.94304876,-46.33432917,364216.00,7351437.00,Avenida Francisco Manoel,Avenida Doutor Waldemar Leão,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2024-10-23,true,true,true,2025-11-18 18:18:44.746364+00,2025-11-18 18:32:21.005989+00
347,CAM3047,7407,-23.94305719,-46.33439803,364209.00,7351436.00,Avenida Francisco Manoel,Avenida Doutor Waldemar Leão,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2024-10-23,true,true,true,2025-11-18 18:18:44.981896+00,2025-11-18 18:32:21.005989+00
348,CAM3048,7408,-23.94307517,-46.33440805,364208.00,7351434.00,Avenida Francisco Manoel,Avenida Doutor Waldemar Leão,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2024-10-23,true,true,true,2025-11-18 18:18:45.236546+00,2025-11-18 18:32:21.005989+00
349,CAM3050,7478,-23.96118523,-46.33815179,363846.00,7349425.00,Avenida General Francisco Glycerio,Avenida Bernardino de Campos,Campo Grande,Fixa Digital HD,Em Funcionamento,1,,2024-11-04,true,true,true,2025-11-18 18:18:45.566128+00,2025-11-18 18:32:21.005989+00
